Counter 2012;Counter 2021;Type;Country;Name;list of 2012 ids;list of 2021 ids
;1;gov ;Australia;Australian Research Council;;283
;2;uni;Australia;La Trobe University;;315, 321
;1;uni;Australia;University of Adelaide;;283
1;;uni;Australia;University of Sydney;9;
1;;gov;Austria;Austrian Science Fund;242;
1;;hosp;Austria;St.Anna Childrens Hospital, Dept. Pediatrics Medical University, Vienna;242;
1;;uni;Austria;University of Salzburg;242;
1;;uni;Belgium;IBBT-KU Leuven Future Health Department, Belgium;13;
1;;corp;Belgium;icoMetrix NV, Leuven, Belgium;13;
1;;gov;Belgium;IWT - TBM project 070717 and Research Foundation - Flanders (FWO);13;
1;;hosp;Belgium;Medical Imaging Research Center, UZ Leuven, Belgium;13;
2;1;uni;Canada;Simon Fraser University, Canada;36, 38;304
1;1;gov;Canada;"Canadian NSERC, CIHR-Skin Research
Training Center and a grant from the Canadian Health Research Project (CHRP)";36;324
1;;corp;Canada;Cancer Control Research Program, BC Cancer Research Center, Canada;36;
1;;uni;Canada;McGill University;137;
1;;corp;Canada;NeuroRx Research, Montreal, Canada;137;
;1;hosp;Canada;Pacific Centre for Reproductive Medicine;;304
;1;hosp;Canada;Sunnybrook Research Institute;;324
1;;uni;Canada;University of British Columbia, Canada;36;
;1;uni;Canada;University of Toronto;;324
1;;uni;China;Beijing Inst. of Tech., Beijing, China;41;
1;;hosp;China;Beijing YouAn Hospital, Beijing, China;41;
;2;uni;China;East China Normal University;;262, 269
;2;gov;China;111 project;;69, 258
;1;corp;China;Alibaba Group;;266
;1;uni;China;Beihang University;;159
;1;uni;China;Beijing Normal University;;269
;3;uni;China;CAS;;265, 266, 270, 288
;1;hosp;China;Changhai Hospital;;277
;5;uni;China;Chinese Academy of Sciences;;118, 159, 269, 270, 288
;2;uni;China;City University of Hong Kong;;161, 268
1;;uni;China;CQKJ ;10;
;2;corp;China;DAMO Academy, Alibaba Group;;265, 266
;2;corp;China;Deepwise AI Lab;;255, 257
;1;gov;China;Foundation of China;;159
;2;uni;China;Heilongjiang University;;315, 321
;2;gov;China;Hong Kong Innovation and Technology Fund;;118, 159
;1;uni;China;Hong Kong University of Science and Technology;;286
;3;corp;China;Huawei Technologies Co., Ltd.;;164, 294, 298
;1;uni;China;Huazhong University of Science and Technology;;286
;1;corp;China;Imsight AI Research Lab;;118
;3;gov;China;Key-Area Research and Development Program of Guangdong Province;;118, 159, 302
;1;gov;China;LIST, Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education;;92
;1;uni;China;Macau University of Science and Technology;;72
1;;corp;China;Microsoft Research Asia, P.R. China;7;
2;;uni;China;Nanjing University of Aeronautics and Astronautics, Nanjing 210016, China;10, 202;
;5;gov;China;National Key Research and Development Program of China;;73, 262, 268, 269, 270
;1;corp;China;NEC Laboratories;;306
;2;uni;China;Northwestern Polytechnical University;;204, 298
3;13;gov;China;"NSFC, National Natural Science Foundation of China
(60971133) and the China Scholarship Council";10,41,202;73, 92, 118, 255, 257, 266, 270, 286, 288, 290, 291, 294, 297, 298
;1;corp;China;Nullmax;;288
;2;corp;China;Pazhou Lab;;290, 297
;1;hosp;China;Peking Union Medical College Hospital;;301
;2;uni;China;Peking University;;255, 257
;2;corp;China;PingAn Technology;;278, 277
;1;hosp;China;Ruijin Hospital;;278
;2;uni;China;Shandong First Medical University and Shandong Academy of Medical Sciences;;315, 321
;1;gov;China;Shandong Higher Education Young Science and Technology Support Program;;73
2;3;uni;China;Shanghai Jiao Tong University, China;202, 248;69, 258, 276
;3;gov;China;Shanghai Municipal Science and Technology Major Project;;69, 73, 258
;1;gov;China;Shanghai Science and Technology Committee;;69
;1;corp;China;Shanghai United Imaging Intelligence Co., Ltd.;;204
;2;uni;China;ShanghaiTech University;;204, 298
;1;gov;China;Shenzhen-Hong Kong Innovation Circle Category D Project;;161
;1;uni;China;Sichuan University;;310
;1;uni;China;Southern Medical University;;276
;2;uni;China;Southern University of Science and Technology;;72, 268
;3;uni;China;Sun Yat-sen University;;290, 291, 297
;1;gov;China;Taishan Scholars Program of Shandong Province;;73
;1;corp;China;Tencent AI Lab;;301
;1;corp;China;Tencent Jarvis Lab;;302
;1;hosp;China;The Affiliated Hospital of Qingdao University;;73
;3;uni;China;The Chinese University of Hong Kong;;118, 159, 268
;1;uni;China;The Hong Kong University of Science and Technology;;118
;2;uni;China;Tianjin University;;315321
;1;uni;China;Tsinghua University;;73
;3;uni;China;University of Science and Technology of China;;265, 266, 288
;3;uni;China;University of the Chinese Academy of Science;;265, 266, 270
;2;uni;China;Xiamen University;;268, 302
;1;uni;China;Zhejiang University;;321
;1;uni;China;Zhengzhou University;;288
1;;uni;Colombia;Universidad Nacional de Colombia;19;
;1;uni;Denmark;Technical University of Denmark;;106
;1;uni;Denmark;University of Copenhagen;;106
1;3;gov;EU;European Commission;62;72, 122, 283
;1;uni;France;Centre de Recherche en Information Biomdicale Sino-Francais (CRIBs), Rennes, France;;92
;1;hosp;France;Centre Hospitalier Universitaire de Lyon;;324
;1;uni;France;CHU Grenoble Alpe;;74
;1;corp;France;GENCI;;74
;1;corp;France;Telecom Paris;;74
;1;uni;France;University Paris-Saclay;;74
1;;uni;France;University of Picardie Jules Verne;194;
2;;uni;France;University Paris XI;194, 203;
;1;gov;Germany;Excellence Strategy of the German Federal and State Governments;;172
;1;uni;Germany;Friedrich–Alexander University Erlangen–Nurnberg;;308
;1;corp;Germany;German Academic Exchange Service (DAAD);;160
;2;gov;Germany;German Ministry of Science and Education, Bavarian State Ministry of Science and the Arts;;173, 318
;1;corp;Germany;Helmholtz AI;;160
1;;uni;Germany;Helmholtz Zentrum Munchen;227;
1;;hosp;Germany;Institute of Neuroscience and Medicine (INM-1, INM-4), Research Center Julich,Germany;25;
;1;uni;Germany;Johannes-Gutenberg University of Mainz;;74
1;1;uni;Germany;Ludwig-Maximilians-University of Munich;227;318
1;;uni;Germany;RWTH Aachen University;25;
1;;corp;Germany;Siemens AG, Corporate Technology, Erlangen, Germany;53;
;3;uni;Germany;Technical University of Munich;;320, 72, 160
1;;uni;Germany;Technische Universitat Munchen;227;
;1;corp;Germany;Tubingen AI Center;;173
1;;hosp;Germany;University Hospital Erlangen;53;
1;;hosp;Germany;University Hospital Schleswig-Holstein;206;
;1;uni;Germany;University of Freiburg;;172
1;;uni;Germany;University of Luebeck;206;
;1;uni;Germany;University of Tubingen;;173
1;;uni;Germany;University of Wuppertal;25;
;1;uni;Greece;University of Thessaly;;174
;1;uni;Hong Kong;Hong Kong Baptist University;;267
;3;uni;Hong Kong;University of Hong Kong;;82, 255, 257
;1;uni;India;IIIT Hyderabad;;311
;1;uni;Iran;Sharif University of Technology;;320
1;;uni;Iran;Shiraz University of Technology;194;
;1;uni;Ireland;University of Galway;;74
;1;uni;Italy;University of Milan;;74
;1;gov;Japan;JSPS KAKENHI, AMED;;112
