,Title,Authors,Page numbers,DOI,Year of publication,Part of publication,category
0,Reliable Assessment of Perfusivity and Diffusivity from Diffusion Imaging of the Body,"M. Freiman, S. D. Voss, R. V. Mulkern, J. M. Perez-Rossello, M. J. Callahan, Simon K. Warfield",1-9,/chapter/10.1007/978-3-642-33415-3_1,2012.0,1,category: other
1,Multi-organ Abdominal CT Segmentation Using Hierarchically Weighted Subject-Specific Atlases,"Robin Wolz, Chengwen Chu, Kazunari Misawa, Kensaku Mori, Daniel Rueckert",10-17,/chapter/10.1007/978-3-642-33415-3_2,2012.0,1,category: other
2,Radiation-Free Drill Guidance in Interlocking of Intramedullary Nails,"Benoit Diotte, Pascal Fallavollita, Lejing Wang, Simon Weidert, Peter-Helmut Thaller, Ekkehard Euler et al.",18-25,/chapter/10.1007/978-3-642-33415-3_3,2012.0,1,category: unknown
3,Developing Essential Rigid-Flexible Outer Sheath to Enable Novel Multi-piercing Surgery,"Siyang Zuo, Takeshi Ohdaira, Kenta Kuwana, Yoshihiro Nagao, Satoshi Ieiri, Makoto Hashizume et al.",26-33,/chapter/10.1007/978-3-642-33415-3_4,2012.0,1,category: unknown
4,Surgical Gesture Classification from Video Data,"Benjamín Béjar Haro, Luca Zappella, René Vidal",34-41,/chapter/10.1007/978-3-642-33415-3_5,2012.0,1,category: classification
5,Remote Ultrasound Palpation for Robotic Interventions Using Absolute Elastography,"Caitlin Schneider, Ali Baghani, Robert Rohling, Septimiu Salcudean",42-49,/chapter/10.1007/978-3-642-33415-3_6,2012.0,1,category: unknown
6,Modeling and Real-Time Simulation of a Vascularized Liver Tissue,"Igor Peterlík, Christian Duriez, Stéphane Cotin",50-57,/chapter/10.1007/978-3-642-33415-3_7,2012.0,1,category: unknown
7,Efficient Optic Cup Detection from Intra-image Learning with Retinal Structure Priors,"Yanwu Xu, Jiang Liu, Stephen Lin, Dong Xu, Carol Y. Cheung, Tin Aung et al.",58-65,/chapter/10.1007/978-3-642-33415-3_8,2012.0,1,category: classification
8,Population-Based Design of Mandibular Plates Based on Bone Quality and Morphology,"Habib Bousleiman, Christof Seiler, Tateyuki Iizuka, Lutz-Peter Nolte, Mauricio Reyes",66-73,/chapter/10.1007/978-3-642-33415-3_9,2012.0,1,category: unknown
9,Thoracic Abnormality Detection with Data Adaptive Structure Estimation,"Yang Song, Weidong Cai, Yun Zhou, Dagan Feng",74-81,/chapter/10.1007/978-3-642-33415-3_10,2012.0,1,category: classification
10,Domain Transfer Learning for MCI Conversion Prediction,"Bo Cheng, Daoqiang Zhang, Dinggang Shen",82-90,/chapter/10.1007/978-3-642-33415-3_11,2012.0,1,category: classification
