Column1;Tidsstempel;What is the article's index?;Which year is the article from?;Is the article accurately labelled as classification?;If not accurately labelled as classification, what would you label it as?;Please input the quote from which you infer the answer to the previous question (if possible);What is the aim or task of the article? (input quote);How does the article justify this aim or task? (input quote);Which method is used for classification?;Which performance measures are used? ;Does the article use segmentation as preprocessing?;Please input the quote from which you infer the answer to the previous question (if possible).1;Does the dataset used in the article have a title?;Please input the quote from which you infer the answer to the previous question (if possible).2;What is the size of the used dataset? (input quote);What type is the dataset?;Please input the quote from which you infer the answer to the previous question (if possible).3;Is the survey/method of how the dataset was obtained accessible?;Please input the quote from which you infer the answer to the previous question (if possible).4;Does the article mention the demographics of the patients/images included in the used dataset?;Please input the quote from which you infer the answer to the previous question (if possible).5;Does the article mention the intent for collecting the dataset? The intended task for the dataset?;Please input the quote from which you infer the answer to the previous question (if possible).6;Does the article disclose any affiliations?;Please input the quote from which you infer the answer to the previous question (if possible).7;Does the article include anything about respect for persons (informed consent, voluntary participation) participating in the dataset? ;Please input the quote from which you infer the answer to the previous question (if possible).8;Does the article have any mention of benefience, minimising risk/maximising benefit of work? ;Please input the quote from which you infer the answer to the previous question (if  possible);Does the article have any mention of justice (equal treatment, fair selection of subjects)?;Please input the quote from which you infer the answer to the previous question (if  possible).1;Does the article mention any respect for law/public interest (transparency in methods/results, accountability for actions)?;Please input the quote from which you infer the answer to the previous question (if  possible).2;Are there any other comments/interesting aspects?
0;22/09/2022 13.28.08;4;2012;Yes;It was accurately labelled;we propose and evaluate three approaches to surgical gesture classification from video.;surgical gesture analysis;Most of the prior work on surgical gesture recognition (see, e.g., [4-6]) uses hidden Markov models (HMMs) to analyze kinematic data stored by the robot (…) Overall, our main conclusion is that methods based on video data perform equally well as methods based n kinematic data for a typical surgical training setup.; linear dynamical system, bag of features,  multiple kernel learning;Accuracy;No;"There is no mention of segmentation, but the article does write: ""We assume that each video is segmented into video surgemes"", so the segmentation has been done";Yes;"""For our tests we used the California dataset [3].""";"""The dataset consists of three different tasks: suturing (SU, 39 trials), needle passing (NP, 26 trials) and knot tying (KT, 36 trials). Each task is performed by 8 surgeons with different skill levels.""";Private;"There is no mention of a public dataset, and the article writes ""The authors thank Intuitive Surgical and Carol Reiley for providing the dataset""";No;searching for the dataset yields no results;No;"no mention of demographics, though the article does specify that ""Each task is performed by 8 surgeons with different skill levels""";No;the article contains no mention of intent of data collection;Yes;Center for Imaging Science, Johns Hopkins University  This work was funded by NSF grants 0931805 and 0941362, and by the Talentia Fellowships Programme of the Andalusian Regional Ministry of Economy, Innovation and Science;No; the article contains no information about the surgeons in the dataset or the patients they were presumably operating on;No;the focus of the article is to promote a new method, mode of analysis, and does not mention any risk or benefit other than the usefulness of this new method;No;there is no mention of this;No;there is no mention of this;
1;22/09/2022 13.43.26;7;2012;Yes;It was accurately labelled;"Second, the classifier learning process does
not rely on pre-labeled training samples, but rather the training samples are extracted
from the test image itself using structural priors on relative cup and disc
positions. Third, we present a classification refinement scheme that utilizes both
structural priors and local context.";We present a superpixel based learning framework based on retinal structure priors for glaucoma diagnosis.;It is critical to detect this degeneration of the optic nerve as early as possible in order to stall its progression;SVM;accuracy;Yes;In this work, we utilize the stateof-the-art SLIC (Simple Linear Iterative Clustering) algorithm [12] to segment the fundus disc image into compact and nearly uniform superpixels.;Yes;using a large clinical dataset called ORIGA?light;For testing we use the ORIGA?light dataset, comprised of 168 glaucoma and 482 normal images.;Public;Is searchable, available upon request;No;But the dataset is available upon request, so perhaps this information is also;No;only size is mentioned;No;no mention of intent in article;Yes;"1 Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore
2 Microsoft Research Asia, P.R. China
3 School of Computer Engineering, Nanyang Technological University, Singapore
4 Singapore Eye Research Institute, Singapore
5 Department of Ophthalmology, National University of Singapore, Singapore  This work is funded by Singapore A*STAR SERC Grant (092-148-00731)";No;article contains no mention of patients ;No;"no direct mention, simply mentions the method proposed gets a level of ""accuracy is comparable to or higher than the state-of-the-art technique [1], with a speedup factor of tens or hundreds.""";No;no mention of patients;Yes;"no mention of law/transparency - though they do mention ""The settings in [1] are also adopted in this work to facilitate comparisons"", so based on what that says, maybe";
2;26/09/2022 09.18.32;9;2012;Yes;It was accurately labelled;"Automatic detection of lung tumors and abnormal lymph
nodes are useful in assisting lung cancer staging. This paper presents a
novel detection method, by first identifying all abnormalities, then differentiating
between lung tumors and abnormal lymph nodes based on their
degree of overlap with the lung field and mediastinum.";"our aim of this study is to develop a computerized method to detect
the lung tumors and abnormal lymph nodes from PET-CT thoracic images automatically.";"In this work, we propose a new and intuitive idea to the detection problem –
after attempting to detect all abnormalities, if we can identify the actual lung
field (tumors inclusive), then we can differentiate lung tumors and abnormal
lymph nodes based on the degree of overlap between the detected abnormality
and the lung field.";Graph analysis;Accuracy, Precision, Recall;No;"The PET-CT thoracic images are first preprocessed to remove the background
and soft tissues outside of the lung and mediastinum with morphological operations.
All images are then aligned based on the carina of tracheae, and rescaled
to the same size [4]. Next, the abnormalities are detected by classification of
lung field (L), mediastinum (M) or abnormalities (O) (Fig. 1c), based on PET
uptake values and CT densities.";No;"The experiment is performed on 50 sets of 3D PET-CT thoracic
images from patients with non-small cell lung cancer (NSCLC), provided by
the Royal Prince Alfred Hospital, Sydney.";"A total of 54 lung tumors and 35
abnormal lymph nodes are annotated as the ground truth. For each data set,
the contour of lung field is also roughly delineated. Five images representing
the typical cases are selected manually as the training set for both structure
labeling and classification between tumors and lymph nodes. The data sets are
then randomly divided into five sets; and within each set, each image is used as
the testing image, with the other nine as the reference images.";Private;"The experiment is performed on 50 sets of 3D PET-CT thoracic
images from patients with non-small cell lung cancer (NSCLC), provided by
the Royal Prince Alfred Hospital, Sydney.";No;"The experiment is performed on 50 sets of 3D PET-CT thoracic
images from patients with non-small cell lung cancer (NSCLC), provided by
the Royal Prince Alfred Hospital, Sydney.";No;Nothing is mentioned in the article;No;Nothing is mentioned in the article;No;"Biomedical and Multimedia Information Technology (BMIT) Research Group,
School of Information Technologies, University of Sydney, Australia
2 The Russell H. Morgan Department of Radiology and Radiological Science,
Johns Hopkins University School of Medicine  Nothing is mentioned in the article";No;Nothing is mentioned in the article;No;"They only mention: Lung cancer is currently the leading cause of cancer deaths; and staging plays
a critical role in defining the prognosis and the best treatment approaches";No;Nothing is mentioned on the choice of subjects;No;There is a lengthy theory section, but no mention of accessing the code or the dataset;
3;26/09/2022 09.25.02;10;2012;Yes;It was accurately labelled;"In this paper, we propose a novel domain-transfer learning method
for MCI conversion prediction. Different from most existing methods, we
classify MCI-C and MCI-NC with aid from the domain knowledge learned with
AD and NC subjects as auxiliary domain to further improve the classification
performance.";"Different from most existing methods, we
classify MCI-C and MCI-NC with aid from the domain knowledge learned with
AD and NC subjects as auxiliary domain to further improve the classification
performance.";"Alzheimer’s disease (AD) is the most common form of dementia in elderly people
worldwide. Early diagnosis of AD is very important for possible delay of the disease.
Mild cognitive impairment (MCI) is a prodromal stage of AD, which can be further
categorized into MCI converters (MCI-C) and MCI non-converters (MCI-NC). The
former will convert into AD in follow-up time, while the latter will not convert. Thus,
accurate diagnosis of MCI converters is of great importance.";SVM;AUC, Specificity, Accuracy, Sensitivity;Yes;"Then, we use the FSL package to segment
each structural MR image into three different tissue types: gray matter (GM), white
matter (WM), and cerebrospinal fluid (CSF).";Yes;"we evaluate the effectiveness of our proposed DTSVM method on
multimodal data, including MRI, PET and CSF, from the AlzheimerÊs disease
Neuroimaging Initiative (ADNI) database.";"the baseline ADNI subjects with all corresponding MRI, PET,
and CSF data are included, which leads to a total of 202 subjects (including 51 AD
patients, 99 MCI patients, and 52 normal controls (NC)). For 99 MCI patients, it
includes 43 MCI converters and 56 MCI non-converters. We use 51 AD and 52 NC
subjects as auxiliary domains, and 99 MCI subjects as target domains.";Public;Googling ADNI leads to a webpage where the dataset is available upon request for research;No;Nothing is mentioned in the article;No;Nothing is mentioned in the article;No;Nothing is mentioned in the article;Yes;"1 Dept. of Computer Science and Engineering,
Nanjing University of Aeronautics and Astronautics, Nanjing 210016, China
2 Dept. of Radiology and BRIC, University of North Carolina at Chapel Hill, NC 27599  This work was partially supported by NIH grants (EB006733,
EB008374, EB009634, AG041721 and MH088520), NSFC grant (60875030), and
CQKJ (KJ121111).";No;Nothing is mentioned in the article;No;Nothing is mentioned in the article;No;Nothing is mentioned in the article;No;Nothing is mentioned in the article;
5;26/09/2022 09.45.32;13;2012;Yes;It was accurately labelled;"We
utilize a fuzzy multi-class modeling using a stochastic expectation maximization
(SEM) algorithm to fit a finite mixture model (FMM) to the
PET image. We then propose a direct estimation formula for TLA and
SUVmean from this multi-class statistical model.";"We
utilize a fuzzy multi-class modeling using a stochastic expectation maximization
(SEM) algorithm to fit a finite mixture model (FMM) to the
PET image. We then propose a direct estimation formula for TLA and
SUVmean from this multi-class statistical model.";"The aforementioned functional markers computed from the PET image are
corrupted by partial volume effects and acquisition blur. Nonetheless, we recently
proposed a direct statistical estimation method, statistical lesion activity
computation (SLAC), in [6] for computing TLA, in the presence of blur.";Unsupervised learning;Accuracy;No;Not mentioned in the article;No;"To evaluate the performance, an NCAT phantom [11] with a hot liver lesion was
simulated.";"To evaluate the performance, an NCAT phantom [11] with a hot liver lesion was
simulated. Realistic FDG uptake values were assigned to the various organs and
tissues of the NCAT phantom. A non spherical tumor (27.67mL) was inserted in
the liver (see Fig. 1). In the tumor, the activity was set to 18.2kBq/cc. The activity
in the liver, spleen, lungs and body was 6.3kBq/cc, 5.5kBq/cc, 0.9kBq/cc
and 2.5kBq/cc respectively. The voxel size used to generate the phantom was
1mm×1mm×1mm. 30 3min scans of the NCAT phantom were simulated using
a Monte Carlo simulator (PET-SORTEO [10]) which models among others the
spatially variant point spread function (PSF) of the ECAT Exact HR+ scanner.
Attenuation and scatter were also modeled. During reconstruction of both
datasets, the system PSF resolution was recovered by modeling as an isotropic
Gaussian with 5mm FWHM. The projection data were reconstructed using the
maximum likelihood expectation maximization (MLEM) algorithm [9] with ordered
subsets. As in clinical routine, 4 iterations over 16 subsets were performed.
The reconstruction voxel size was set to 2mm× 2mm× 2mm. The images were
post-smoothed with 5mm Gaussian FWHM.";Private;It is simulated data generated for this article of a liver lesion with a tumor inserted;Yes;"To evaluate the performance, an NCAT phantom [11] with a hot liver lesion was
simulated. Realistic FDG uptake values were assigned to the various organs and
tissues of the NCAT phantom. A non spherical tumor (27.67mL) was inserted in
the liver (see Fig. 1). In the tumor, the activity was set to 18.2kBq/cc. The activity
in the liver, spleen, lungs and body was 6.3kBq/cc, 5.5kBq/cc, 0.9kBq/cc
and 2.5kBq/cc respectively. The voxel size used to generate the phantom was
1mm×1mm×1mm. 30 3min scans of the NCAT phantom were simulated using
a Monte Carlo simulator (PET-SORTEO [10]) which models among others the
spatially variant point spread function (PSF) of the ECAT Exact HR+ scanner.
Attenuation and scatter were also modeled. During reconstruction of both
datasets, the system PSF resolution was recovered by modeling as an isotropic
Gaussian with 5mm FWHM. The projection data were reconstructed using the
maximum likelihood expectation maximization (MLEM) algorithm [9] with ordered
subsets. As in clinical routine, 4 iterations over 16 subsets were performed.
The reconstruction voxel size was set to 2mm× 2mm× 2mm. The images were
post-smoothed with 5mm Gaussian FWHM.";No;No patients were included as the data was simulated;Yes;It was created for this article;Yes;"1 Medical Imaging Research Center, UZ Leuven, Belgium
2 IBBT-KU Leuven Future Health Department, Belgium
3 Medical Image Computing (ESAT/PSI/MIC)
4 Nuclear Medicine
5 Gastroenterology
3,4,5 KU, Leuven, Belgium
6icoMetrix NV, Leuven, Belgium  The authors gratefully acknowledge the financial support
by KU Leuven’s Concerted Research Action GOA/11/006, IWT - TBM project
070717 and Research Foundation - Flanders (FWO).";No;Because no persons were involved;No;No persons involved;No;No persons involved;No;No persons involved but a very long perhaps useful theory section if one can recreate it from that?;
6;26/09/2022 10.18.37;14;2012;Yes;It was accurately labelled;"A novel gland segmentation and classification scheme applied
to an H&E histology image of the prostate tissue is proposed. For
gland segmentation, we associate appropriate nuclei objects with each
lumen object to create a gland segment. We further extract 22 features
to describe the structural information and contextual information for
each segment. These features are used to classify a gland segment into
one of the three classes: artifact, normal gland and cancer gland.";"A novel gland segmentation and classification scheme applied
to an H&E histology image of the prostate tissue is proposed.";"In detecting prostate cancer on a digitized tissue slide, the pathologist relies
on: (i) structural information; glands in a cancer region (cancer glands) appear
to have structural properties (e.g. nuclei abundance, lumen size) different from
glands in a normal region (normal glands) and (ii) contextual information; cancer
glands typically cluster into groups and are of similar shape and size1, while
shape and size of normal glands vary widely. These two sources of information
can be observed in Fig. 1b. Hence, a reasonable approach to assist a pathologist
in finding cancer regions includes segmenting out glandular regions, examining
their structural and contextual information and finally classifying them.";SVM;Accuracy;Yes;"For
gland segmentation, we associate appropriate nuclei objects with each
lumen object to create a gland segment.";No;"The dataset includes 48 images at 5× magnification (average image
size is 900 × 1,500 pixels), which come from 20 patients. Glands in images of
the same patient still have very large variability in structures. Given the pathologist’s
annotation on each image, we manually label 525 artifacts, 931 normal
glands and 1,375 cancer glands to form the (ground truth) gland dataset.";"The dataset includes 48 images at 5× magnification (average image
size is 900 × 1,500 pixels), which come from 20 patients. Glands in images of
the same patient still have very large variability in structures. Given the pathologist’s
annotation on each image, we manually label 525 artifacts, 931 normal
glands and 1,375 cancer glands to form the (ground truth) gland dataset.";Private;The article contains no mention of where the dataset comes from;No;No mention in article;No;No mention in article;No;No mention in article;No;"1 Michigan State Unversity, East Lansing, MI 48824, USA
2 Ventana Medical Systems, Inc., Sunnyvale, CA 94085, USA
{nguye231,jain}@cse.msu.edu, anindya.sarkar@ventana.roche.com  No mention in article";No;No mention in article;No;No mention in article;No;No mention in article;Yes;"The article includes a link to a github repo, containing at least some of the code
The article also includes stats for running time and details about the machine it has been run on";
8;28/09/2022 10.03.14;16;2012;Yes;It was accurately labelled;"With the advent of advanced imaging techniques, genotyping,
and methods to assess clinical and biological progression, there is
a growing need for a unified framework that could exploit information
available from multiple sources to aid diagnosis and the identification
of early signs of Alzheimer’s disease (AD).";"We propose a modeling
strategy using supervised feature extraction to optimally combine highdimensional
imaging modalities with several other low-dimensional disease
risk factors. The motivation is to discover new imaging biomarkers
and use them in conjunction with other known biomarkers for prognosis
of individuals at high risk of developing AD. Our framework also has the
ability to assess the relative importance of imaging modalities for predicting
AD conversion.";"Mild cognitive impairment (MCI) is an intermediate stage between healthy aging
and dementia. Patients diagnosed with MCI are at high risk of developing
Alzheimer’s disease (AD), but not everyone with MCI will convert. Accurate
prognosis for MCI patients is an important prerequisite for providing the optimal
treatment and management of the disease.";SVM;AUC, Specificity, Accuracy, Sensitivity;Yes;"Tissue-wise intensity normalization
for white matter, gray matter, and cerebrospinal fluid was performed using the expectation maximization based segmentation followed by the piecewise polynomial
histogram matching algorithm";Yes;"All the baseline and screening T1 weighted, bias-fieldcorrected
and N3 scaled structuralMagnetic Resonance Images were downloaded
from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database.";"The baseline subjects that had all the clinical, APOE genotyping, FDG-PET
imaging and MRI imaging data from the ADNI database comprised of a total
of 242 individuals.";Public;ADNI is available upon request;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;Yes;"University of Utah, Salt Lake City, UT    Data collection and sharing for this project was funded by
the Alzheimer’s Disease Neuroimaging Initiative (ADNI) (NIH Grant U01
AG024904).The research in this paper was supported byNIHgrant 5R01EB007688,
the University of California, San Francisco (NIH grantP41 RR023953),NSF grant
CNS-0751152), and NSF CAREER Grant 1054057.";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
10;28/09/2022 10.21.37;19;2012;Yes;It was accurately labelled;"One important contribution of the method is
the provision of an interpretability layer, which is able to explain a particular
classification by visually mapping the most important visual patterns associated
with such classification.";"A method for automatic analysis and interpretation of histopathology
images is presented. The method uses a representation of the image data
set based on bag of features histograms built from visual dictionary of Haarbased
patches and a novel visual latent semantic strategy for characterizing the
visual content of a set of images.";"This paper presents a new method, ViSAI, for automatic analysis and interpretation of
histopathological images.";probabilistic classification model;Specificity, Accuracy, Sensitivity;No;Nothing is mentioned;No;"The dataset comprises 10 labeled histopathological cases from St. Jude Children’s Research
Hospital, which 5 are anaplastic and 5 are non-anaplastic";"Each slide is a whole
virtual slide of 80000×80000 pixels with one or more cancerous regions with a large
tumoral variability, manually annotated by a neuro-pathologist. For every slide, 750
individual images of 200×200 pixels non-overlapping where extracted uniformly at
random from these cancerous regions, resulting in a database of 7500 different images:
half of them anaplastic.";Private;"The dataset comprises 10 labeled histopathological cases from St. Jude Children’s Research
Hospital, which 5 are anaplastic and 5 are non-anaplastic";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;"BioIngenium Research Group, Universidad Nacional de Colombia, Bogot´a, Colombia
2 Rutgers, Department of Biomedical Engineering, Piscataway, NJ, USA
3 Children Hospital of L.A., Department of Pathology Lab Medicine, Los Angeles, CA, USA
4 St. Jude Children’s Research Hospital from Memphis, TN, USA
5 Penn State College of Medicine, Department of Pathology, Hershey, PA, USA  Nothing is mentioned";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
12;28/09/2022 11.40.00;25;2012;Yes;It was accurately labelled;"Classification of Ambiguous Nerve Fiber
Orientations in 3D Polarized Light Imaging";"3D Polarized Light Imaging (3D-PLI) has been shown to
measure the orientation of nerve fibers in post mortem human brains at
ultra high resolution. The 3D orientation in each voxel is obtained as a
pair of angles, the direction angle and the inclination angle with unknown
sign. The sign ambiguity is a major problem for the correct interpretation
of fiber orientation. Measurements from a tiltable specimen stage, that
are highly sensitive to noise, extract information, which allows drawing
conclusions about the true inclination sign. In order to reduce noise, we
propose a global classification of the inclination sign, which combines
measurements with spatial coherence constraints.";"Fiber tracts are composed of axons, which connect nerve cells between each
other, and thus transmit information between brain areas. The exact courses
of fiber tracts are still far from being fully understood.";Graph analysis;Sensitivity, RMSD;No;Nothing is mentioned (but this article is insanely convoluted!);No;"We evaluate our approach on synthetic and human brain
data.";"Human Brain Data. Regions in histological sections of three post mortem
brains without pathological findings were selected to demonstrate the different
behavior of all approaches (Fig. 4(b)–(d)).
Synthetic Data. A synthetic data set consisting of a direction image ˜ ? and an
inclination image ˜? was created. The structure consists of rounded and crossing
fiber tracts (Fig. 4(a))";Private;The synthetic data they construct themselves and no mention is made of the human brain data;Don't know;Not sure if someone who understands this could recreate the synthetic data, the human data no;No;Nothing is mentioned;Yes;At least the synthetic data is created for this article;No;"1 Institute of Neuroscience and Medicine (INM-1, INM-4),
Research Center J¨ulich,Germany
2 Department of Physics, University of Wuppertal, Germany
3 Department of Psychiatry, Psychotherapy and Psychosomatics,
RWTH Aachen University, Germany  Nothing is mentioned";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
16;30/09/2022 11.06.10;36;2012;Yes;It was accurately labelled;"There is an increasing demand for automated detection and analysis of
dermoscopy structures and malignancy clues such as streaks in dermoscopy images,
for computer-aided early diagnosis of deadly melanoma. This paper presents
a novel approach for streak detection and visualization on dermoscopic images.
We tackle the detection of streaks by means of ridge and valley estimation. Orientation
estimation and correction is applied to detect low contrast and fuzzy streaks
lines, and candidate streaks are used to classify dermoscopy images into streaks
Absent or Present with the AUC of 90.5% on 300 dermoscopy images.";"This paper presents
a novel approach for streak detection and visualization on dermoscopic images.";"Melanoma is the most deadly form of skin cancer, yet treatable via excision if detected
early. There is, therefore, a demand to develop computer-aided diagnostic systems to facilitate
the early detection of melanoma.";Logistic classifier;AUC, Accuracy, Precision, Recall, F1 score;Yes;First the lesion is segmented using Wighton et al.’s method;No;"we evaluated our proposed approach on streak detection
on a set of 300 dermoscopy images, including 105 absent and 195 present. 250
images are chosen randomly from two atlases of dermoscopy [10,1], and 50 images
are taken from experts’ archives with permission.";"we evaluated our proposed approach on streak detection
on a set of 300 dermoscopy images, including 105 absent and 195 present. 250
images are chosen randomly from two atlases of dermoscopy [10,1], and 50 images
are taken from experts’ archives with permission.";Private;"we evaluated our proposed approach on streak detection
on a set of 300 dermoscopy images, including 105 absent and 195 present. 250
images are chosen randomly from two atlases of dermoscopy [10,1], and 50 images
are taken from experts’ archives with permission. - So I suppose that means mixed, the atlases may be public?";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;Yes;"1 School of Computing Science, Simon Fraser University, Canada
msa68@sfu.ca
2 Department of Dermatology and Skin Science, University of British Columbia, Canada
3 Cancer Control Research Program, BC Cancer Research Center, Canada   This work was funded by the Canadian NSERC, CIHR-Skin Research
Training Center and a grant from the Canadian Health Research Project (CHRP).";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
