,Title,Authors,Page numbers,DOI,Year of publication
0,Noisy Labels are Treasure: Mean-Teacher-Assisted Confident Learning for Hepatic Vessel Segmentation,"Zhe Xu, Donghuan Lu, Yixin Wang, Jie Luo, Jagadeesan Jayender, Kai Ma et al.",3-13,/chapter/10.1007/978-3-030-87193-2_1,2021
1,TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation,"Yundong Zhang, Huiye Liu, Qiang Hu",14-24,/chapter/10.1007/978-3-030-87193-2_2,2021
2,Pancreas CT Segmentation by Predictive Phenotyping,"Yucheng Tang, Riqiang Gao, Hohin Lee, Qi Yang, Xin Yu, Yuyin Zhou et al.",25-35,/chapter/10.1007/978-3-030-87193-2_3,2021
3,Medical Transformer: Gated Axial-Attention for Medical Image Segmentation,"Jeya Maria Jose Valanarasu, Poojan Oza, Ilker Hacihaliloglu, Vishal M. Patel",36-46,/chapter/10.1007/978-3-030-87193-2_4,2021
4,Anatomy-Constrained Contrastive Learning for Synthetic Segmentation Without Ground-Truth,"Bo Zhou, Chi Liu, James S. Duncan",47-56,/chapter/10.1007/978-3-030-87193-2_5,2021
5,Study Group Learning: Improving Retinal Vessel Segmentation Trained with Noisy Labels,"Yuqian Zhou, Hanchao Yu, Humphrey Shi",57-67,/chapter/10.1007/978-3-030-87193-2_6,2021
6,Multi-phase Liver Tumor Segmentation with Spatial Aggregation and Uncertain Region Inpainting,"Yue Zhang, Chengtao Peng, Liying Peng, Huimin Huang, Ruofeng Tong, Lanfen Lin et al.",68-77,/chapter/10.1007/978-3-030-87193-2_7,2021
7,Convolution-Free Medical Image Segmentation Using Transformers,"Davood Karimi, Serge Didenko Vasylechko, Ali Gholipour",78-88,/chapter/10.1007/978-3-030-87193-2_8,2021
8,Consistent Segmentation of Longitudinal Brain MR Images with Spatio-Temporal Constrained Networks,"Jie Wei, Feng Shi, Zhiming Cui, Yongsheng Pan, Yong Xia, Dinggang Shen",89-98,/chapter/10.1007/978-3-030-87193-2_9,2021
9,A Multi-branch Hybrid Transformer Network for Corneal Endothelial Cell Segmentation,"Yinglin Zhang, Risa Higashita, Huazhu Fu, Yanwu Xu, Yang Zhang, Haofeng Liu et al.",99-108,/chapter/10.1007/978-3-030-87193-2_10,2021
10,TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,"Wenxuan Wang, Chen Chen, Meng Ding, Hong Yu, Sen Zha, Jiangyun Li",109-119,/chapter/10.1007/978-3-030-87193-2_11,2021
11,Automatic Polyp Segmentation via Multi-scale Subtraction Network,"Xiaoqi Zhao, Lihe Zhang, Huchuan Lu",120-130,/chapter/10.1007/978-3-030-87193-2_12,2021
12,Patch-Free 3D Medical Image Segmentation Driven by Super-Resolution Technique and Self-Supervised Guidance,"Hongyi Wang, Lanfen Lin, Hongjie Hu, Qingqing Chen, Yinhao Li, Yutaro Iwamoto et al.",131-141,/chapter/10.1007/978-3-030-87193-2_13,2021
13,Progressively Normalized Self-Attention Network for Video Polyp Segmentation,"Ge-Peng Ji, Yu-Cheng Chou, Deng-Ping Fan, Geng Chen, Huazhu Fu, Debesh Jha et al.",142-152,/chapter/10.1007/978-3-030-87193-2_14,2021
14,SGNet: Structure-Aware Graph-Based Network for Airway Semantic Segmentation,"Zimeng Tan, Jianjiang Feng, Jie Zhou",153-163,/chapter/10.1007/978-3-030-87193-2_15,2021
15,NucMM Dataset: 3D Neuronal Nuclei Instance Segmentation at Sub-Cubic Millimeter Scale,"Zudi Lin, Donglai Wei, Mariela D. Petkova, Yuelong Wu, Zergham Ahmed, Krishna Swaroop K et al.",164-174,/chapter/10.1007/978-3-030-87193-2_16,2021
16,AxonEM Dataset: 3D Axon Instance Segmentation of Brain Cortical Regions,"Donglai Wei, Kisuk Lee, Hanyu Li, Ran Lu, J. Alexander Bae, Zequan Liu et al.",175-185,/chapter/10.1007/978-3-030-87193-2_17,2021
17,Improved Brain Lesion Segmentation with Anatomical Priors from Healthy Subjects,"Chenghao Liu, Xiangzhu Zeng, Kongming Liang, Yizhou Yu, Chuyang Ye",186-195,/chapter/10.1007/978-3-030-87193-2_18,2021
18,CarveMix: A Simple Data Augmentation Method for Brain Lesion Segmentation,"Xinru Zhang, Chenghao Liu, Ni Ou, Xiangzhu Zeng, Xiaoliang Xiong, Yizhou Yu et al.",196-205,/chapter/10.1007/978-3-030-87193-2_19,2021
19,Boundary-Aware Transformers for Skin Lesion Segmentation,"Jiacheng Wang, Lan Wei, Liansheng Wang, Qichao Zhou, Lei Zhu, Jing Qin",206-216,/chapter/10.1007/978-3-030-87193-2_20,2021
20,A Topological-Attention ConvLSTM Network and Its Application to EM Images,"Jiaqi Yang, Xiaoling Hu, Chao Chen, Chialing Tsai",217-228,/chapter/10.1007/978-3-030-87193-2_21,2021
21,BiX-NAS: Searching Efficient Bi-directional Architecture for Medical Image Segmentation,"Xinyi Wang, Tiange Xiang, Chaoyi Zhang, Yang Song, Dongnan Liu, Heng Huang et al.",229-238,/chapter/10.1007/978-3-030-87193-2_22,2021
